Class;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;;;;;
LineCode;nphases;r1;x1;r0;x0;C1;C0;units;rmatrix;xmatrix;cmatrix;baseFreq;normamps;emergamps;faultrate;pctperm;repair;Kron;Rg;Xg;rho;neutral;B1;B0;Seasons;Ratings;LineType;like;;;;;;;;;;;;
LoadShape;npts;interval;mult;hour;mean;stddev;csvfile;sngfile;dblfile;action;qmult;UseActual;Pmax;Qmax;sinterval;minterval;Pbase;Qbase;Pmult;PQCSVFile;MemoryMapping;like;;;;;;;;;;;;;;;;;;
Tshape;npts;interval;temp;hour;mean;stddev;csvfile;sngfile;dblfile;sinterval;minterval;action;like;;;;;;;;;;;;;;;;;;;;;;;;;;;
PriceShape;npts;interval;price;hour;mean;stddev;csvfile;sngfile;dblfile;sinterval;minterval;action;like;;;;;;;;;;;;;;;;;;;;;;;;;;;
XYcurve;npts;Points;Yarray;Xarray;csvfile;sngfile;dblfile;x;y;Xshift;Yshift;Xscale;Yscale;like;;;;;;;;;;;;;;;;;;;;;;;;;;
GrowthShape;npts;year;mult;csvfile;sngfile;dblfile;like;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCC_Curve;npts;C_array;T_array;like;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spectrum;NumHarm;harmonic;%mag;angle;CSVFile;like;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WireData;Rdc;Rac;Runits;GMRac;GMRunits;radius;radunits;normamps;emergamps;diam;Seasons;Ratings;Capradius;like;;;;;;;;;;;;;;;;;;;;;;;;;;
CNData;k;DiaStrand;GmrStrand;Rstrand;EpsR;InsLayer;DiaIns;DiaCable;Rdc;Rac;Runits;GMRac;GMRunits;radius;radunits;normamps;emergamps;diam;Seasons;Ratings;Capradius;like;;;;;;;;;;;;;;;;;;
TSData;DiaShield;TapeLayer;TapeLap;EpsR;InsLayer;DiaIns;DiaCable;Rdc;Rac;Runits;GMRac;GMRunits;radius;radunits;normamps;emergamps;diam;Seasons;Ratings;Capradius;like;;;;;;;;;;;;;;;;;;;
LineGeometry;nconds;nphases;cond;wire;x;h;units;normamps;emergamps;reduce;spacing;wires;cncable;tscable;cncables;tscables;Seasons;Ratings;LineType;like;;;;;;;;;;;;;;;;;;;;
LineSpacing;nconds;nphases;x;h;units;like;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XfmrCode;phases;windings;wdg;conn;kV;kVA;tap;%R;Rneut;Xneut;conns;kVs;kVAs;taps;Xhl;Xht;Xlt;Xscarray;thermal;n;m;flrise;hsrise;%loadloss;%noloadloss;normhkVA;emerghkVA;MaxTap;MinTap;NumTaps;%imag;ppm_antifloat;%Rs;X12;X13;X23;RdcOhms;Seasons;Ratings;like
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
